施設名,号機,施設名＋号機,事業者,所在地,緯度,経度,写真リンク,運転開始,状況,定格出力,原子炉の種類,燃料集合体数,集合体あたり燃料棒数
泊原発,1号機,泊原発 1号機,北海道電力,北海道古宇郡泊村,43.0379437,140.512888,,1989年,停止中（定期検査中、2025年4月現在）,57.9万kW,加圧水型軽水炉（PWR）,121体,179本
泊原発,2号機,泊原発 2号機,北海道電力,北海道古宇郡泊村,43.036696,140.513904,,1991年,停止中（定期検査中、2025年4月現在）,57.9万kW,加圧水型軽水炉（PWR）,121体,179本
泊原発,3号機,泊原発 3号機,北海道電力,北海道古宇郡泊村,43.0343429,140.514813,,2009年,停止中（定期検査中、2025年4月現在）,91.2万kW,加圧水型軽水炉（PWR）,157体,157本
東通原発,1号機,東通原発 1号機,東北電力,青森県下北郡東通村,41.1881441,141.390509,,2005年,停止中（定期検査中、2025年4月現在）,110万kW,沸騰水型原子炉（BWR）,764体,
女川原発,1号機,女川原発 1号機,東北電力,宮城県牡鹿郡女川町,38.398472,141.501235,,1984年,廃止措置中,52.4万kW,沸騰水型原子炉（BWR）,368体,
女川原発,2号機,女川原発 2号機,東北電力,宮城県牡鹿郡女川町,38.3992912,141.502301,,1995年,運転中,82.5万kW,沸騰水型原子炉（BWR）,560体,
女川原発,3号機,女川原発 3号機,東北電力,宮城県牡鹿郡女川町,38.4007641,141.500074,,2002年,停止中（定期検査中、2025年4月現在）,82.5万kW,沸騰水型原子炉（BWR）,560体,
柏崎刈羽原発,1号機,柏崎刈羽原発 1号機,東京電力,新潟県柏崎市,37.4243209,138.594343,,1985年,停止中（定期検査中、2025年4月現在）,110万kW,沸騰水型原子炉（BWR）,764体,
柏崎刈羽原発,2号機,柏崎刈羽原発 2号機,東京電力,新潟県柏崎市,37.4255953,138.594869,,1990年,停止中（定期検査中、2025年4月現在）,110万kW,沸騰水型原子炉（BWR）,764体,
柏崎刈羽原発,3号機,柏崎刈羽原発 3号機,東京電力,新潟県柏崎市,37.4270862,138.594609,,1993年,停止中（定期検査中、2025年4月現在）,110万kW,沸騰水型原子炉（BWR）,764体,
柏崎刈羽原発,4号機,柏崎刈羽原発 4号機,東京電力,新潟県柏崎市,37.4290109,138.595432,,1994年,停止中（定期検査中、2025年4月現在）,110万kW,沸騰水型原子炉（BWR）,764体,
柏崎刈羽原発,5号機,柏崎刈羽原発 5号機,東京電力,新潟県柏崎市、刈羽郡刈羽村,37.4387657,138.600914,,1990年,停止中（定期検査中、2025年4月現在）,110万kW,沸騰水型原子炉（BWR）,764体,
柏崎刈羽原発,6号機,柏崎刈羽原発 6号機,東京電力,新潟県柏崎市、刈羽郡刈羽村,37.4377072,138.600341,,1996年,停止中（定期検査中、2025年4月現在）,135.6万kW,改良型沸騰水型原子炉（ABWR）,872体,
柏崎刈羽原発,7号機,柏崎刈羽原発 7号機,東京電力,新潟県柏崎市、刈羽郡刈羽村,37.4365649,138.599867,,1997年,停止中（定期検査中、2025年4月現在）,135.6万kW,改良型沸騰水型原子炉（ABWR）,872体,
福島第１原発,1号機,福島第１原発 1号機,東京電力,福島県双葉郡大熊町,37.4228936,141.032835,,1971年,廃止,46.0万kW,沸騰水型軽水炉（BWR）,400体,
福島第１原発,2号機,福島第１原発 2号機,東京電力,福島県双葉郡大熊町,37.4220621,141.032711,,1974年,廃止,78.4万kW,沸騰水型軽水炉（BWR）,548体,
福島第１原発,3号機,福島第１原発 3号機,東京電力,福島県双葉郡大熊町,37.421103,141.032701,,1976年,廃止,78.4万kW,沸騰水型軽水炉（BWR）,548体,
福島第１原発,4号機,福島第１原発 4号機,東京電力,福島県双葉郡大熊町,37.4198299,141.032668,,1978年,廃止,78.4万kW,沸騰水型軽水炉（BWR）,548体,
福島第１原発,5号機,福島第１原発 5号機,東京電力,福島県双葉郡双葉町,37.4282998,141.032359,,1978年,廃止,78.4万kW,沸騰水型軽水炉（BWR）,548体,
福島第１原発,6号機,福島第１原発 6号機,東京電力,福島県双葉郡双葉町,37.429352,141.032299,,1979年,廃止,110万kW,沸騰水型軽水炉（BWR）,764体,
福島第２原発,1号機,福島第２原発 1号機,東京電力,福島県双葉郡楢葉町,37.3143605,141.024995,,1982年,廃止措置中,110万kW,沸騰水型軽水炉（BWR）,,
福島第２原発,2号機,福島第２原発 2号機,東京電力,福島県双葉郡楢葉町,37.3156847,141.024977,,1984年,廃止措置中,110万kW,沸騰水型軽水炉（BWR）,,
福島第２原発,3号機,福島第２原発 3号機,東京電力,福島県双葉郡富岡町,37.3168252,141.024971,,1985年,廃止措置中,110万kW,沸騰水型軽水炉（BWR）,,
福島第２原発,4号機,福島第２原発 4号機,東京電力,福島県双葉郡富岡町,37.318159,141.024993,,1987年,廃止措置中,110万kW,沸騰水型軽水炉（BWR）,,
東海第２原発,,東海第２原発,日本原子力発電,茨城県東海村,36.4664525,140.606549,,1978年,停止中（定期検査中、2025年4月現在）,110万kW,沸騰水型軽水炉（BWR）,,
東海原発,,東海原発,日本原子力発電,茨城県東海村,36.4641885,140.606888,,1966年（日本初の商業用原発として営業運転開始）,廃止措置中,16.6万kW,黒鉛減速・炭酸ガス冷却型炉（GCR）,,
浜岡原発,1号機,浜岡原発 1号機,中部電力,静岡県御前崎市,34.6241392,138.142603,,1976年,廃止措置中,54万kW,沸騰水型軽水炉（BWR）,,
浜岡原発,2号機,浜岡原発 2号機,中部電力,静岡県御前崎市,34.6233319,138.143036,,1978年,廃止措置中,84万kW,沸騰水型軽水炉（BWR）,,
浜岡原発,3号機,浜岡原発 3号機,中部電力,静岡県御前崎市,34.6223238,138.145278,,1987年,停止中（定期検査中、2025年4月現在）,110万kW,沸騰水型軽水炉（BWR）,,
浜岡原発,4号機,浜岡原発 4号機,中部電力,静岡県御前崎市,34.6214062,138.146585,,1993年,停止中（定期検査中、2025年4月現在）,113.7万kW,沸騰水型軽水炉（BWR）,,
浜岡原発,5号機,浜岡原発 5号機,中部電力,静岡県御前崎市,34.6187431,138.149541,,2005年,停止中（定期検査中、2025年4月現在）,138万kW,改良型沸騰水型軽水炉（ABWR）,,
志賀原発,1号機,志賀原発 1号機,北陸電力,石川県羽咋郡志賀町,37.0605777,136.726943,,1993年,停止中（定期検査中、2025年4月現在）,54万kW,沸騰水型軽水炉（BWR）,368体,
