住所,人数,緯度,経度
月見町,3,36.0461637,136.2152256
葵町,1,36.0492470,136.2150733
堀田町,7,36.0497126,136.2140730
豊町,2,36.0513040,136.2148750
寿町,2,36.0534504,136.2128811
吉野上町,3,36.055562,136.225738
吉野中町,10,36.056882,136.227111
吉野下町,1,36.0570495,136.2292685
豊島中町,15,36.0570641,136.2226836
毛矢町,5,36.0576951,136.21
手寄下町,13,36.0580190,136.2285015
豊島下町,7,36.0582433,136.2245918
手寄中町,27,36.0589379,136.2253234
豊島上町,7,36.0591066,136.220429
玉井町,3,36.0593415,136.2074281
足羽上町,1,36.0595026,136.2120975
緑町,1,36.0596597,136.2095331
手寄上町,20,36.0601183,136.2264313
千歳町,2,36.0602920,136.2067328
館町,12,36.0607715,136.2087301
足羽下町,2,36.0608804,136.2110715
佐佳枝上町,18,36.061194,136.217915
栄町,4,36.0615402,136.2081974
日ノ出町,1,36.0619021,136.2284401
日ノ出下町,16,36.0620347,136.2253375
若松町,3,36.0625324,136.2079263
佐久良下町,4,36.0627632,136.2132592
日ノ出中町,24,36.063142,136.229907
佐佳枝中町,5,36.0631644,136.2162441
照手上町,4,36.0647871,136.2102529
錦下町,1,36.0652414,136.2137462
佐佳枝下町,16,36.0654678,136.2169416
湊上町,3,36.065611,136.206311
三の丸町,27,36.0657293,136.2251719
錦上町,14,36.0657811,136.2150578
日ノ出上町,1,36.0658793,136.2303356
錦中町,1,36.0659851,136.2143382
宝永下町,7,36.0664869,136.227908
花月中町,4,36.0666107,136.2109458
二の丸町,5,36.0667797,136.2233599
湊下町,9,36.067175,136.206078
乾上町,3,36.0673027,136.2129174
湊中町,3,36.06736,136.208042
花月上町,11,36.0674999,136.2111864
宝永上町,35,36.067629,136.2214592
清川下町,7,36.0681476,136.2301611
宝永中町,3,36.0683244,136.2255508
大和上町,2,36.0683754,136.2144129
春山下町,3,36.0689605,136.2154827
江戸上町,27,36.069337,136.22459
江戸下町,22,36.0693518,136.2186465
松ケ枝中町,10,36.06985,136.228033
清川中町,6,36.0699261,136.2311846
東上町,10,36.069998,136.221667
花月新町,11,36.070017,136.208709
松ケ枝下町,7,36.07004,136.229582
東下町,8,36.070201,136.2180403
春山上町,1,36.0704451,136.2140929
老松中町,22,36.0706052,136.2245910
佐久良上町,2,36.0707254,136.2267007
尾上下町,12,36.0710099,136.2213956
浪花下町,3,36.0711297,136.2210684
清川上町,4,36.0711330,136.2320548
老松上町,8,36.071495,136.224117
浪花中町,2,36.0716031,136.2165296
老松下町,2,36.071796,136.226175
尾上中町,9,36.072271,136.222296
尾上上町,2,36.0722944,136.2191867
乾新町,10,36.072448,136.210019
浪花上町,2,36.0724854,136.214219
簸川中町,1,36.0736539,136.2277178
簸川下町,1,36.0755578,136.2271547
