住所,人数,緯度,経度,担当
日ノ出下町,31,36.0620347,136.2253375,高橋
佐佳枝上町,28,36.061194,136.217915,横山
手寄中町,27,36.0589379,136.2253234,嶋本
江戸下町,27,36.0693518,136.2186465,嶋本
江戸上町,26,36.069337,136.22459,嶋本
宝永下町,22,36.0664869,136.227908,横山
日ノ出中町,20,36.063142,136.229907,横山
錦上町,18,36.0657811,136.2150578,嶋本
手寄下町,14,36.0580190,136.2285015,小響
手寄上町,11,36.0601183,136.2264313,小響
豊島下町,10,36.0582433,136.2245918,小響
吉野中町,9,36.056882,136.227111,髙橋
豊島中町,9,36.0570641,136.2226836,小響
乾新町,8,36.072448,136.210019,横山
宝永中町,8,36.0683244,136.2255508,小響
湊下町,8,36.067175,136.206078,横山
花月上町,7,36.0674999,136.2111864,横山
佐佳枝下町,6,36.0654678,136.2169416,嶋本
老松中町,6,36.0706052,136.2245910,小響
花月中町,4,36.0666107,136.2109458,横山
吉野上町,4,36.055562,136.225738,髙橋
豊島上町,4,36.0591066,136.220429,嶋本
湊中町,4,36.06736,136.208042,横山
毛矢町,4,36.057737,136.22,髙橋
花月新町,2,36.070017,136.208709,横山
佐久良下町,2,36.0627632,136.2132592,嶋本
照手上町,2,36.0647871,136.2102529,横山
日ノ出町,2,36.0619021,136.2284401,横山
乾上町,1,36.0671796,36.0671796,横山
錦下町,1,36.0652414,136.2137462,嶋本
佐佳枝中町,1,36.0631644,136.2162441,嶋本
照手下町,1,36.065614,136.208652,横山
福井駅前,1,36.0625528,136.2224627,髙橋
湊上町,1,36.065611,136.206311,横山
