住所,人数,緯度,経度
宝永上町,50,36.067629,136.2214592
日ノ出下町,31,36.0620347,136.2253375
佐佳枝上町,28,36.061194,136.217915
手寄中町,27,36.0589379,136.2253234
江戸下町,27,36.0693518,136.2186465
江戸上町,26,36.069337,136.22459
三の丸町,30,36.0657293,136.2251719
宝永下町,22,36.0664869,136.227908
日ノ出中町,20,36.063142,136.229907
神明神社内,21,36.0682638,136.2197578
錦上町,18,36.0657811,136.2150578
西別院前,19,36.072153,136.2207953
松ケ枝中町,16,36.06985,136.228033
手寄下町,14,36.0580190,136.2285015
館町,11,36.0607715,136.2087301
手寄上町,11,36.0601183,136.2264313
豊島下町,10,36.0582433,136.2245918
老松下町,10,36.071796,136.226175
吉野中町,9,36.056882,136.227111
東上町,9,36.069998,136.221667
豊島中町,9,36.0570641,136.2226836
乾新町,8,36.072448,136.210019
宝永中町,8,36.0683244,136.2255508
湊下町,8,36.067175,136.206078
花月上町,7,36.0674999,136.2111864
尾上中町,7,36.072271,136.222296
江戸町,6,36.0692878,136.2219748
佐佳枝下町,6,36.0654678,136.2169416
出作町,6,36.053036,136.232379
城町,6,36.0655466,136.2244313
足羽河原,6,36.0601063,136.2172956
二の丸町,6,36.0667797,136.2233599
尾上下町,6,36.0710099,136.2213956
老松上町,6,36.071495,136.224117
老松中町,6,36.0706052,136.2245910
志比口町,5,36.072368,136.234789
若松町,5,36.0625324,136.2079263
松ケ枝下町,5,36.07004,136.229582
西別院内,5,36.0729865,136.2214847
花月中町,4,36.0666107,136.2109458
吉野上町,4,36.055562,136.225738
佐佳枝町,4,36.062832,136.216836
松ケ枝町,4,36.070045,136.228319
森田町,4,36.1093815,136.2265347
足羽下町,4,36.0608804,136.2110715
豊島上町,4,36.0591066,136.220429
湊中町,4,36.06736,136.208042
毛矢町,4,36.0576951,136.21
浪花下町,4,36.0711297,136.2210684
老松町,4,36.071125,136.224984
久保町,3,36.0615869,136.2105024
錦中町,3,36.0659851,136.2143382
呉服町,3,36.06620661,136.2130521
佐久良上町,3,36.0643560,136.2146894
手寄町,3,36.0590438,136.2264273
松ケ枝上町,3,36.0707254,136.2267007
松本下町,3,36.075759,136.220808
松本上町,3,36.074261,136.230341
松本中町,3,36.075203,136.224823
城の橋下町,3,36.060866,136.231274
大手町,3,36.062651,136.217725
電話局、電話交換局、福井交換局内,5,36.061052,136.2180229
東下町,3,36.070201,136.2180403
日ノ出元町,3,36.0608093,136.2204738
横浜市,2,35.4629004,139.6299607
花月新町,2,36.070017,136.208709
外記様町,2,36.06033002,136.2178036
乾中町,2,36.069066,136.21289
観音町,2,36.0645226,136.2291157
岩堀町,2,36.0557117,136.2126222
九十九橋下河原,2,36.0630942,136.2115409
江守中町,2,36.03568612,136.1998679
佐久良下町,2,36.0627632,136.2132592
左内町,2,36.059442,136.213179
三国町,2,36.21715547,136.1580496
寿町,2,36.0534504,136.2128811
松本方面,2,36.0779804,136.2249965
照手上町,2,36.0647871,136.2102529
城の橋中町,2,36.062515,136.234594
清川上町,2,36.0711330,136.2320548
清川中町,2,36.0699261,136.2311846
大和上町,2,36.0683754,136.2144129
東明里町,2,36.069412,136.20247
日ノ出町,2,36.0619021,136.2284401
簸川中町,2,36.0736539,136.2277178
尾上上町,2,36.0722944,136.2191867
尾上町,2,36.0707598,136.2215649
宝永町,2,36.06935,136.227933
牧之島,4,36.077664,136.21
堀田町,2,36.0497126,136.2140730
木田町,2,36.046483,136.219108
油町,2,36.0744086,136.2268893
緑町,2,36.0595665,136.2095331
葵町,1,36.0492470,136.2150733
旭橋付近,1,36.0576672,136.226415
栄町,1,36.0615402,136.2081974
駅裏電機会社付近,1,36.06279,136.22
岡保,1,36.05203247,136.2724947
開発町,1,36.083446,136.243297
乾上町,1,36.0673027,136.2129174
吉野下町,1,36.0570495,136.2292685
旧永平寺,1,36.0658287,136.229336
玉井町,1,36.0593415,136.2074281
錦下町,1,36.0652414,136.2137462
九十九河原,1,36.0630942,136.2115409
月見町,1,36.0461637,136.2152256
県庁前,1,36.0638559,136.2217675
御園町,2,36.063035,136.223168
御幸下町,1,36.058695,136.230869
御幸上町,1,36.056998,136.232498
港新町,1,36.071054,136.205024
荒木新保,1,36.03383054,136.2717964
佐佳枝中町,1,36.0631644,136.2162441
山中療養所,1,36.35635922,136.357714
南四ツ井町,1,36.06863607,136.2511369
浪花中町,1,36.0716031,136.2165296
春江町,1,"36.134471246870696,",136.2191736
春山下町,1,36.0689605,136.2154827
春山上町,1,36.0704451,136.2140929
勝見町,1,36.055235,136.230573
照手下町,1,36.065614,136.208652
上文殊徳光,1,36.00721015,136.2467866
上文珠村,1,36.00181245,136.2526414
上里町,1,36.07444093,136.2069462
常盤木町,1,36.0572256,136.2129155
森田相模病院,1,36.1027907,136.224308
是則倉庫,1,35.979428,136.1975793
清川下町,1,36.0681476,136.2301611
西別院前の川中,1,36.073771,136.22155
西別院付近,1,36.0730058,136.2217921
西方町,1,36.051341,136.236398
西方田ノ中,1,36.051341,136.236398
石大仏,1,36.06781561,136.2117571
千歳町,1,36.0602920,136.2067328
相生町,1,36.0584622,136.2126872
足羽河原調連場,1,36.0564182,136.2230739
足羽上町,1,36.0595026,136.2120975
大野市,1,35.97995937,136.4875043
大和中町,1,36.0673711,136.2157775
田原町,1,36.072648,136.215322
東京都,1,35.68964168,139.6916958
東藤島村,1,36.08766889,136.2697306
藤島神社境内,1,36.056136,136.2111795
日ノ出上町,1,36.0658793,136.2303356
日赤,1,36.0469201,136.2138549
日赤支部,1,36.061,136.218768
簸川下町,1,36.0755578,136.2271547
不動町,1,36.0549398,136.2109873
富山市,1,36.69580619,137.2137078
福井駅前,1,36.0625528,136.2224627
福井駅中,1,36.0620919,136.2230419
福井県庁舎内,1,36.0650235,136.2217885
福井県庁裏門,1,36.0655291,136.2217487
福井郵便局,1,36.0640258,136.2117720
淵上町,1,36.0521542,136.2415494
米松町,1,"36.06521189983886,",136.2400667
豊町,1,36.0513040,136.2148750
北海道,1,43.061886,141.354584
北今泉町,1,36.07074826,136.2555975
湊上町,1,36.065611,136.206311
明里町,1,36.065455,136.201326
木田橋,1,36.0552534,136.220308
有楽町,1,36.06252737,136.2059129
立矢町,1,36.05717393,136.2067491
浪花上町,1,36.0724854,136.214219
徑田町,1,36.082517,136.218564
